iter	Passed	Remaining
0	2	2487
1	5	2639
2	7	2410
3	8	2238
4	10	2132
5	12	2112
6	14	2086
7	16	2047
8	18	2014
9	20	1998
10	21	1959
11	23	1927
12	24	1895
13	26	1879
14	28	1896
15	30	1885
16	32	1874
17	34	1869
18	36	1860
19	37	1853
20	39	1842
21	40	1808
22	42	1812
23	44	1802
24	45	1792
25	47	1788
26	49	1779
27	50	1770
28	52	1764
29	54	1759
30	56	1759
31	58	1759
32	59	1750
33	61	1743
34	62	1736
35	64	1717
36	65	1711
37	67	1707
38	69	1712
39	71	1708
40	72	1705
41	74	1699
42	75	1687
43	77	1682
44	79	1679
45	81	1682
46	82	1682
47	84	1679
48	86	1675
49	88	1672
50	89	1667
51	91	1664
52	92	1661
53	94	1658
54	96	1657
55	98	1658
56	100	1660
57	102	1660
58	104	1661
59	105	1659
60	107	1660
61	109	1661
62	111	1661
63	113	1657
64	114	1653
65	116	1650
66	118	1646
67	119	1641
68	121	1637
69	122	1634
70	124	1633
71	126	1632
72	128	1628
73	129	1624
74	131	1617
75	132	1614
76	134	1611
77	136	1607
78	137	1607
79	139	1605
80	141	1602
81	142	1599
82	144	1595
83	146	1593
84	147	1590
85	149	1587
86	151	1585
87	152	1584
88	154	1582
89	156	1583
90	158	1582
91	160	1582
92	162	1581
93	164	1583
94	166	1584
95	168	1583
96	170	1583
97	171	1582
98	173	1582
99	175	1580
100	177	1577
101	179	1576
102	180	1576
103	182	1570
104	183	1568
105	185	1564
106	187	1561
107	188	1559
108	190	1556
109	192	1555
110	194	1555
111	196	1557
112	198	1559
113	200	1556
114	201	1553
115	203	1550
116	205	1547
117	206	1546
118	208	1545
119	210	1542
120	211	1539
121	213	1536
122	215	1533
123	216	1530
124	218	1528
125	220	1527
126	221	1525
127	223	1523
128	225	1520
129	226	1517
130	228	1515
131	230	1512
132	231	1510
133	233	1507
134	235	1507
135	237	1506
136	238	1503
137	240	1500
138	241	1498
139	243	1495
140	245	1493
141	246	1490
142	248	1488
143	250	1488
144	252	1486
145	253	1484
146	255	1481
147	256	1479
148	258	1478
149	260	1476
150	262	1474
151	264	1473
152	265	1472
153	267	1469
154	269	1466
155	270	1461
156	271	1458
157	273	1456
158	274	1453
159	276	1451
160	278	1449
161	279	1447
162	281	1445
163	283	1443
164	284	1440
165	286	1438
166	287	1435
167	289	1433
168	291	1432
169	293	1430
170	294	1428
171	296	1426
172	297	1424
173	299	1422
174	301	1419
175	302	1417
176	304	1415
177	306	1415
178	308	1413
179	309	1412
180	311	1409
181	313	1407
182	314	1405
183	316	1403
184	318	1401
185	319	1399
186	321	1398
187	323	1397
188	325	1396
189	327	1395
190	328	1392
191	330	1390
192	332	1389
193	334	1388
194	336	1387
195	337	1385
196	339	1384
197	341	1382
198	343	1380
199	344	1378
200	346	1377
201	348	1375
202	349	1373
203	351	1371
204	353	1369
205	354	1368
206	356	1365
207	358	1363
208	359	1361
209	361	1360
210	363	1358
211	364	1356
212	366	1353
213	367	1351
214	369	1349
215	371	1347
216	372	1345
217	374	1343
218	376	1342
219	378	1340
220	379	1338
221	381	1336
222	383	1334
223	384	1330
224	385	1328
225	387	1327
226	389	1325
